year,mi_230kV,mi_345kV,mi_500kV,mi_total,gwmi_230kV,gwmi_345kV,gwmi_500kV,gwmi_total,implied_MW_per_circuit,source_report,vintage,contemporaneous_mi_total,uplift
2009,957.5,659.7,160.1,1777.3,211.6,790.3,411.8,1413.7,795,Dec 2010 EIU,Y+1,,
2010,1461.6,948.3,112.0,2521.9,323.0,1136.1,288.1,1747.1,693,Dec 2011 EIU,Y+1,1440.3,1.75
2011,951.8,516.5,262.0,1730.3,210.3,618.8,673.9,1503.0,869,Dec 2012 EIU,Y+1,1014.9,1.70
2012,1074.8,1112.3,187.5,2374.6,237.5,1332.5,482.2,2052.3,864,Dec 2013 EIU,Y+1,1566.0,1.52
2013,702.9,3663.5,531.0,4897.4,155.3,4388.9,1365.7,5909.9,1207,Dec 2014 EIU,Y+1,3294.9,1.49
2014,1202.5,1659.8,70.0,2932.3,265.8,1988.4,180.0,2434.2,830,Dec 2015 EIU,Y+1,2087.4,1.40
2015,722.2,1230.5,355.0,2307.7,159.6,1474.1,913.1,2546.8,1104,Dec 2016 EIU,Y+1,1395.6,1.65
2016,830.8,965.9,85.0,1881.7,183.6,1157.1,218.6,1559.4,829,Dec 2017 EIU,Y+1,699.7,2.69
2017,329.3,363.1,0.0,692.4,72.8,435.0,0.0,507.8,733,Dec 2018 EIU,Y+1,348.1,1.99
2018,521.5,847.2,69.4,1438.1,115.3,1014.9,178.5,1308.7,910,Dec 2019 EIU,Y+1,1111.2,1.29
2019,303.4,604.5,7.7,915.6,67.1,724.2,19.8,811.0,886,Dec 2020 EIU (rev 2022-09-28),Y+1,699.9,1.31
2020,229.1,652.8,251.4,1133.3,50.6,782.1,646.6,1479.3,1305,Dec 2021 EIU (rev 2022-09-28),Y+1,896.6,1.26
2021,801.0,566.6,0.0,1367.6,177.0,678.8,0.0,855.8,626,Dec 2022 EIU,Y+1,193.0,7.09
2022,476.6,197.7,0.3,674.6,105.3,236.8,0.8,342.9,508,Dec 2023 EIU (rev 2024-05-16),Y+1,674.6,1.00
2023,260.2,59.5,0.0,319.7,57.5,71.3,0.0,128.8,403,Dec 2024 EIU (rev 2025-04-22),Y+1,251.4,1.27
2024,791.3,352.1,554.0,1697.4,174.9,421.8,1424.9,2021.6,1191,Dec 2025 EIU (rev 2026-04-08),Y+1,369.9,4.59
2025,380.3,400.8,1.8,782.9,84.0,480.2,4.6,568.8,727,Dec 2025 EIU (rev 2026-04-08),Y ONLY (undercount),782.9,
