scenario,year,ng_emissions,non_end_use_co2_storage,emission_cap
E-B+,2025,1203.3033950168658,-1.76831,1201.5350850168659
E-B+,2030,855.854288972442,-78.25492,777.599368972442
E-B+,2035,497.55466166750716,-428.86883,68.68583166750716
E-B+,2040,333.30005511979067,-873.49614,-540.1960848802094
E-B+,2045,216.1466875945163,-1302.38683,-1086.2401424054835
E-B+,2050,146.56973094050952,-1485.37166,-1338.8019290594905
E+RE-,2025,1316.245737804168,-2.76999,1313.475747804168
E+RE-,2030,1279.1198357017379,-176.3691,1102.750735701738
E+RE-,2035,1374.3232236998608,-527.11796,847.2052636998608
E+RE-,2040,1311.9324604412604,-799.83017,512.1022904412605
E+RE-,2045,1115.5905556249636,-1151.27418,-35.68362437503629
E+RE-,2050,873.144607774655,-1503.29956,-630.1549522253449
REF,2025,,-0.0,
REF,2030,,-0.0,
REF,2035,,-0.0,
REF,2040,,-0.0,
REF,2045,,-0.0,
REF,2050,,-0.0,
E+RE+,2025,1168.4624112083607,-0.00025,1168.4621612083606
E+RE+,2030,1005.3473541268264,-0.16182000000000002,1005.1855341268264
E+RE+,2035,721.9854278587387,-0.18852,721.7969078587387
E+RE+,2040,497.21625288337077,-28.971999999999998,468.2442528833708
E+RE+,2045,196.2945690961543,-178.20830999999998,18.086259096154322
E+RE+,2050,30.96444610473322,-415.02936,-384.0649138952668
E+,2025,1245.7665480128485,-2.70662,1243.0599280128486
E+,2030,1072.9709600202532,-44.2215,1028.749460020253
E+,2035,890.9307086988792,-197.26496999999998,693.6657386988793
E+,2040,723.786250756131,-345.86544999999995,377.9208007561311
E+,2045,464.5218187459288,-598.8521499999999,-134.33033125407115
E+,2050,258.06606555503635,-833.5536,-575.4875344449636
E-,2025,1222.1843533406534,-2.0884,1220.0959533406533
E-,2030,855.6807765040894,-85.48003,770.2007465040895
E-,2035,461.2288323369977,-404.7537300000001,56.47510233699762
E-,2040,286.35272332554047,-824.46931,-538.1165866744595
E-,2045,209.62382613603472,-1130.98803,-921.3642038639653
E-,2050,164.88520188049466,-1516.702,-1351.8167981195054
