Year,Report<BR>State<BR>,Gas<BR>Field Code,Reservoir<BR>Code,Company<BR>Name,Field<BR>Name,Reservoir<BR>Name,Field<BR>Type,County<BR>Name,Region,Status,Base<BR>Gas,Working Gas<BR>Capacity(Mcf),Total Field<BR>Capacity(Mcf),Maximum Daily<BR>Delivery(Mcf)
2023,AK,374014,133,HILCORP ALASKA LLC,KENAI          ,STERLING POOL 6,Depleted Field,Kenai Peninsula,Alaska,Active,5967413,51717583,57684997,60000
2023,AK,117499,133,COOK INLET NATURAL GAS STORAGE,CANNERY LOOP   ,STERLING C,Depleted Field,Kenai Peninsula,Alaska,Active,6961981,10940258,17902240,149190
2023,AK,571967,283,HILCORP ALASKA LLC,PRETTY CREEK UN,BELUGA 51-5,Depleted Field,,Alaska,Active,447556,2297454,2745010,10940
2023,AK,691992,2,HILCORP ALASKA LLC,SWANSON RIVER  ,TYONEK 77-3,Depleted Field,Kenai Peninsula,Alaska,Active,600000,1700000,3400000,32400
2023,AK,691992,1,HILCORP ALASKA LLC,SWANSON RIVER  ,TYONEK 64-5,Depleted Field,Kenai Peninsula,Alaska,Active,220000,1260000,1860000,24300
2023,AL,460979,1,BAY GAS STORAGE COMPANY LTD,MCINTOSH SALT D,,Salt Dome,Washington,South Central Region,Active,8150000,21950000,30100000,2400000
2023,AL,189665,1,FREEBIRD GAS STORAGE LLC,EAST DETROIT ST,,Depleted Field,Lamar,South Central Region,Active,2300000,11200000,13500000,305000
2023,AR,424210,2,BLACK HILLS ENERGY CORP,LONE ELM       ,HENSON SAND,Depleted Field,Franklin,South Central Region,Active,8205450,6216250,14421700,70500
2023,AR,764509,5,BLACK HILLS ENERGY CORP,WHITE OAK      ,WOOLSEY SAND,Depleted Field,Franklin,South Central Region,Active,4872585,2678159,7550745,141925
2023,CA,572742,1,CENTRAL VALLEY GAS STORAGE LLC,PRINCETON GAS  ,PRINCETON GAS,Depleted Field,Colusa,Pacific Region,Active,1380000,11000000,12400000,300000
2023,CA,381385,2,LODI GAS STORAGE LLC,KIRBY HILLS    ,DOMENGINE,Depleted Field,Solano,Pacific Region,Active,2900000,4400000,7300000,50000
2023,CA,559845,5,SOUTHERN CALIFORNIA GAS COMPANY,PLAYA DEL REY  ,PUENTE,Depleted Field,Los Angeles,Pacific Region,Active,4461545,2400000,6861545,400000
2023,CA,10456,1,SOUTHERN CALIFORNIA GAS COMPANY,ALISO CANYON   ,SESNON-FREW,Depleted Field,Los Angeles,Pacific Region,Active,81525000,86200000,167725000,1860000
2023,CA,391270,2,SOUTHERN CALIFORNIA GAS COMPANY,LA GOLETA      ,VAQUEROS,Depleted Field,Santa Barbara,Pacific Region,Active,24589073,21500000,46089073,420000
2023,CA,427868,1,PACIFIC GAS AND ELECTRIC COMPANY,LOS MEDANOS    ,DOMENGINE,Depleted Field,Contra Costa,Pacific Region,Active,17366000,11773000,29139000,400000
2023,CA,559938,3,PACIFIC GAS AND ELECTRIC COMPANY,PLEASANT CREEK ,PETERS,Depleted Field,Yolo,Pacific Region,Active,5078500,2250000,7328500,70000
2023,CA,459290,2,PACIFIC GAS AND ELECTRIC COMPANY,MCDONALD ISLAND,MCDONALD,Depleted Field,San Joaquin,Pacific Region,Active,99492767,37075233,136568000,1680000
2023,CA,381416,2,LODI GAS STORAGE LLC,KIRBY HILLS    ,WAGENET,Depleted Field,Solano,Pacific Region,Active,1360000,11580000,12940000,200000
