st,h2ptcreg,annual_demand_mwh,share
AL,Southeast,12918389.6,0.008012969599
AR,Delta,4068906.725,0.002523845998
AZ,Southwest,2096186.767,0.001300214761
CA,California,68728274.46,0.04263051285
CO,Mountain,30377547.32,0.01884246959
CT,NewEngland,2378424.787,0.001475280287
DE,MidAtlantic,95992.81331,5.954205738e-05
FL,Florida,24400500.99,0.01513505001
GA,Southeast,25727337.94,0.01595805539
IA,Midwest,97735835.79,0.06062321274
ID,Northwest,1030981.361,0.0006394932
IL,Midwest,79615384.12,0.04938352785
IN,Midwest,31146576.4,0.01931948002
KS,Plains,51282757.23,0.03180947374
KY,MidAtlantic,10529737.7,0.006531345678
LA,Delta,84891431.65,0.05265613456
MA,NewEngland,7376820.412,0.004575666127
MD,MidAtlantic,1693360.081,0.001050350955
ME,NewEngland,352534.1812,0.0002186685619
MI,Midwest,25388912.22,0.01574813797
MN,Midwest,58211095.76,0.03610695723
MO,Midwest,51003559.96,0.03163629431
MS,Delta,4961619.846,0.0030775747
MT,Mountain,20000193.94,0.01240564428
NC,Southeast,13201077.64,0.008188314263
ND,Plains,39970484.69,0.02479274032
NE,Plains,60948621.52,0.0378049793
NH,NewEngland,133145.7388,8.258713282e-05
NJ,MidAtlantic,3625243.42,0.00224865221
NM,Southwest,7737320.561,0.004799275789
NV,Mountain,6882845.393,0.00426926518
NY,NewYork,11735123.76,0.007279017965
OH,MidAtlantic,44170947.43,0.02739818739
OK,Plains,38749669.38,0.02403549764
OR,Northwest,12234042.19,0.007588485192
PA,MidAtlantic,35957262.74,0.02230343426
RI,NewEngland,135543.1953,8.407421797e-05
SC,Southeast,23786134.06,0.01475397283
SD,Plains,23295891.51,0.01444988704
TN,Southeast,25962167.04,0.01610371429
TX,Texas,500401165.7,0.3103869331
UT,Mountain,10187625.6,0.006319141688
VA,MidAtlantic,12069539.35,0.007486447993
VT,NewEngland,37123.47619,2.302680871e-05
WA,Northwest,8603423.55,0.005336498859
WI,Midwest,14613062.81,0.009064135058
WV,MidAtlantic,1073706.446,0.0006659945535
WY,Mountain,20661496.36,0.01281583443
