ba,nercr,transreg,transgrp,cendiv,st,h2ptcreg,interconnect,st_interconnect,country,aggreg
p1,WECC_NW,NorthernGrid,NorthernGrid_West,PA,WA,Northwest,western,WA,USA,WA
p2,WECC_NW,NorthernGrid,NorthernGrid_West,PA,WA,Northwest,western,WA,USA,WA
p3,WECC_NW,NorthernGrid,NorthernGrid_West,PA,WA,Northwest,western,WA,USA,WA
p4,WECC_NW,NorthernGrid,NorthernGrid_West,PA,WA,Northwest,western,WA,USA,WA
p5,WECC_NW,NorthernGrid,NorthernGrid_West,PA,OR,Northwest,western,OR,USA,OR
p6,WECC_NW,NorthernGrid,NorthernGrid_West,PA,OR,Northwest,western,OR,USA,OR
p7,WECC_NW,NorthernGrid,NorthernGrid_West,PA,OR,Northwest,western,OR,USA,OR
p8,WECC_NW,NorthernGrid,NorthernGrid_South,PA,CA,California,western,CA,USA,CA_N
p9,WECC_CA,CAISO,CAISO,PA,CA,California,western,CA,USA,CA_N
p10,WECC_CA,CAISO,CAISO,PA,CA,California,western,CA,USA,CA_S
p11,WECC_CA,CAISO,CAISO,PA,CA,California,western,CA,USA,CA_S
p12,WECC_SW,NorthernGrid,NorthernGrid_South,MTN,NV,Mountain,western,NV,USA,NV
p13,WECC_SW,NorthernGrid,NorthernGrid_South,MTN,NV,Mountain,western,NV,USA,NV
p14,WECC_NW,NorthernGrid,NorthernGrid_East,MTN,ID,Northwest,western,ID,USA,ID
p15,WECC_BA,NorthernGrid,NorthernGrid_East,MTN,ID,Northwest,western,ID,USA,ID
p16,WECC_BA,NorthernGrid,NorthernGrid_East,MTN,ID,Northwest,western,ID,USA,ID
p17,WECC_NW,NorthernGrid,NorthernGrid_East,MTN,MT,Mountain,western,MT_western,USA,MT
p18,WECC_NW,NorthernGrid,NorthernGrid_East,MTN,MT,Mountain,western,MT_western,USA,MT
p19,WECC_NW,NorthernGrid,NorthernGrid_East,MTN,MT,Mountain,western,MT_western,USA,MT
p20,WECC_NW,NorthernGrid,NorthernGrid_East,MTN,MT,Mountain,western,MT_western,USA,MT
p21,WECC_RM,NorthernGrid,NorthernGrid_East,MTN,WY,Mountain,western,WY,USA,WY
p22,WECC_RM,NorthernGrid,NorthernGrid_East,MTN,WY,Mountain,western,WY,USA,WY
p23,WECC_RM,WestConnect,WestConnect_North,MTN,WY,Mountain,western,WY,USA,WY
p24,WECC_RM,WestConnect,WestConnect_North,MTN,WY,Mountain,western,WY,USA,WY
p25,WECC_BA,NorthernGrid,NorthernGrid_South,MTN,UT,Mountain,western,UT,USA,UT
p26,WECC_BA,NorthernGrid,NorthernGrid_South,MTN,UT,Mountain,western,UT,USA,UT
p27,WECC_SW,WestConnect,WestConnect_South,MTN,AZ,Southwest,western,AZ,USA,AZ
p28,WECC_SW,WestConnect,WestConnect_South,MTN,AZ,Southwest,western,AZ,USA,AZ
p29,WECC_SW,WestConnect,WestConnect_South,MTN,AZ,Southwest,western,AZ,USA,AZ
p30,WECC_SW,WestConnect,WestConnect_South,MTN,AZ,Southwest,western,AZ,USA,AZ
p31,WECC_SW,WestConnect,WestConnect_South,MTN,NM,Southwest,western,NM_western,USA,NM
p32,WECC_RM,WestConnect,WestConnect_North,MTN,SD,Plains,western,SD_western,USA,SD
p33,WECC_RM,WestConnect,WestConnect_North,MTN,CO,Mountain,western,CO,USA,CO
p34,WECC_RM,WestConnect,WestConnect_North,MTN,CO,Mountain,western,CO,USA,CO
p35,SPP,SPP,SPP_North,WNC,MT,Mountain,eastern,MT_eastern,USA,MT
p36,SPP,SPP,SPP_North,WNC,ND,Plains,eastern,ND,USA,ND
p37,MISO,MISO,MISO_North,WNC,ND,Plains,eastern,ND,USA,ND
p38,SPP,SPP,SPP_North,WNC,SD,Plains,eastern,SD_eastern,USA,SD
p39,SPP,SPP,SPP_North,WNC,NE,Plains,eastern,NE,USA,NE
p40,SPP,SPP,SPP_North,WNC,NE,Plains,eastern,NE,USA,NE
p41,SPP,SPP,SPP_North,WNC,NE,Plains,eastern,NE,USA,NE
p42,MISO,MISO,MISO_North,WNC,MN,Midwest,eastern,MN,USA,MN
p43,MISO,MISO,MISO_North,WNC,MN,Midwest,eastern,MN,USA,MN
p44,MISO,MISO,MISO_North,WNC,MN,Midwest,eastern,MN,USA,MN
p45,MISO,MISO,MISO_North,WNC,IA,Midwest,eastern,IA,USA,IA
p46,MISO,MISO,MISO_North,ENC,WI,Midwest,eastern,WI,USA,WI
p47,SPP,SPP,SPP_South,WSC,NM,Southwest,eastern,NM_eastern,USA,NM
p48,SPP,SPP,SPP_South,WSC,TX,Texas,eastern,TX_eastern,USA,TX_SPP
p49,SPP,SPP,SPP_South,WSC,OK,Plains,eastern,OK,USA,OK
p50,SPP,SPP,SPP_South,WSC,OK,Plains,eastern,OK,USA,OK
p51,SPP,SPP,SPP_South,WSC,OK,Plains,eastern,OK,USA,OK
p52,SPP,SPP,SPP_South,WNC,KS,Plains,eastern,KS,USA,KS
p53,SPP,SPP,SPP_South,WNC,KS,Plains,eastern,KS,USA,KS
p54,SPP,SPP,SPP_South,WNC,MO,Midwest,eastern,MO,USA,MO
p55,SPP,SPP,SPP_South,WNC,MO,Midwest,eastern,MO,USA,MO
p56,SPP,SPP,SPP_South,WSC,AR,Delta,eastern,AR,USA,AR
p57,SPP,SPP,SPP_South,WSC,TX,Texas,eastern,TX_eastern,USA,TX_MISO
p58,MISO,MISO,MISO_South,WSC,LA,Delta,eastern,LA,USA,LA
p59,WECC_SW,WestConnect,WestConnect_South,MTN,TX,Texas,western,TX_western,USA,TX_ERCOT_W
p60,ERCOT,ERCOT,ERCOT,WSC,TX,Texas,ercot,TX_ercot,USA,TX_ERCOT_W
p61,ERCOT,ERCOT,ERCOT,WSC,TX,Texas,ercot,TX_ercot,USA,TX_ERCOT_W
p62,ERCOT,ERCOT,ERCOT,WSC,TX,Texas,ercot,TX_ercot,USA,TX_ERCOT_W
p63,ERCOT,ERCOT,ERCOT,WSC,TX,Texas,ercot,TX_ercot,USA,TX_ERCOT_E
