interface,r,rr,MW_f0,MW_r0,MW_f1,MW_r1
AL||FL,AL,FL,2862.472,3071.021,0,0
AL||GA,AL,GA,7239.065,5146.552,0,0
AL||MS,AL,MS,7659.151,9087.082,0,0
AL||TN,AL,TN,5133.171,4938.505,0,0
AR||LA,AR,LA,4359.0,4359.0,0,0
AR||MO,AR,MO,4392.111,3817.072,0,0
AR||MS,AR,MS,499.525,879.52,0,0
AR||OK,AR,OK,3386.2309999999998,3286.73,0,0
AR||TN,AR,TN,4445.51,4665.2,0,0
AZ||CA,AZ,CA,5235.758,5372.382,0,0
AZ||NM,AZ,NM,4062.822,5302.939,0,0
AZ||NV,AZ,NV,7234.475,5672.437,0,0
AZ||UT,AZ,UT,181.29,144.702,0,0
CA||NV,CA,NV,9049.131000000001,8486.698,0,0
CA||OR,CA,OR,5209.12,5312.228,0,0
CO||NM,CO,NM,1176.285,1657.636,0,0
CO||UT,CO,UT,2352.947,2421.683,0,0
CO||WY,CO,WY,3297.451,5506.697,0,0
CT||MA,CT,MA,4192.886,14.499,0,0
CT||NY,CT,NY,1195.0,1195.0,0,0
CT||RI,CT,RI,0.0,111.485,0,0
DE||MD,DE,MD,2444.16,3489.985,0,0
DE||NJ,DE,NJ,2701.0,2701.0,0,0
DE||PA,DE,PA,1591.344,467.641,0,0
FL||GA,FL,GA,6714.072,6593.686000000001,0,0
GA||NC,GA,NC,80.091,142.771,0,0
GA||SC,GA,SC,6941.772,6158.139,0,0
GA||TN,GA,TN,2903.278,2771.815,0,0
IA||IL,IA,IL,3376.79,3564.501,0,0
IA||MN,IA,MN,2983.7850000000003,3103.224,0,0
IA||MO,IA,MO,3103.385,3169.605,0,0
IA||NE,IA,NE,2843.622,3174.6279999999997,0,0
IA||SD,IA,SD,1261.096,1564.881,0,0
IA||WI,IA,WI,1786.401,1832.158,0,0
ID||MT,ID,MT,2691.623,3192.9,0,0
ID||NV,ID,NV,500.0,500.0,0,0
ID||OR,ID,OR,5962.403,8312.862000000001,0,0
ID||UT,ID,UT,1497.656,1876.703,0,0
ID||WA,ID,WA,5094.409,3230.632,0,0
ID||WY,ID,WY,2000.056,2612.697,0,0
IL||IN,IL,IN,14140.393,15719.607,0,0
IL||KY,IL,KY,1427.6509999999998,1519.091,0,0
IL||MO,IL,MO,6064.939,5481.069,0,0
IL||WI,IL,WI,5145.394,4631.663,0,0
IN||KY,IN,KY,5760.549,5801.643,0,0
IN||MI,IN,MI,3161.753,8103.869000000001,0,0
IN||OH,IN,OH,10399.796,10999.71,0,0
KS||MO,KS,MO,4047.12,3926.118,0,0
KS||NE,KS,NE,2032.838,2168.067,0,0
KS||OK,KS,OK,5989.816,7311.023,0,0
KY||OH,KY,OH,6946.366,5654.055,0,0
KY||TN,KY,TN,3857.181,2108.527,0,0
KY||VA,KY,VA,534.771,585.806,0,0
KY||WV,KY,WV,157.077,149.571,0,0
LA||MS,LA,MS,6238.022,6536.456,0,0
MA||NH,MA,NH,1760.968,496.068,0,0
MA||NY,MA,NY,1903.0,1430.0,0,0
MA||RI,MA,RI,681.396,1642.164,0,0
MA||VT,MA,VT,1352.277,1259.0,0,0
MD||PA,MD,PA,8039.931,7426.776,0,0
MD||VA,MD,VA,4639.373,4056.156,0,0
MD||WV,MD,WV,4431.577,6551.117,0,0
ME||NH,ME,NH,1616.986,3105.798,0,0
MI||OH,MI,OH,4128.921,3615.395,0,0
MI||WI,MI,WI,851.786,431.13599999999997,0,0
MN||ND,MN,ND,2109.492,2304.656,0,0
MN||SD,MN,SD,2645.627,3338.784,0,0
MN||WI,MN,WI,3563.366,3853.289,0,0
MO||NE,MO,NE,2861.692,3785.197,0,0
MO||OK,MO,OK,766.772,1344.687,0,0
MO||TN,MO,TN,212.406,194.451,0,0
MS||TN,MS,TN,2147.049,2698.691,0,0
MT||WA,MT,WA,1905.3,1905.3,0,0
MT||WY,MT,WY,816.0,650.319,0,0
NC||SC,NC,SC,8388.73,8456.952,0,0
NC||TN,NC,TN,2193.227,598.0,0,0
NC||VA,NC,VA,7362.578,8019.009,0,0
ND||SD,ND,SD,3942.714,2614.45,0,0
NE||SD,NE,SD,925.106,1046.294,0,0
NH||VT,NH,VT,1401.598,1978.994,0,0
NJ||NY,NJ,NY,5130.75,3283.266,0,0
NJ||PA,NJ,PA,11763.077,9557.589,0,0
NM||UT,NM,UT,614.357,700.0,0,0
NV||UT,NV,UT,894.873,501.65,0,0
NY||PA,NY,PA,2305.032,2489.0,0,0
NY||VT,NY,VT,1170.868,45.091,0,0
OH||PA,OH,PA,6325.058,9604.837,0,0
OH||VA,OH,VA,3964.29,4154.085,0,0
OH||WV,OH,WV,20797.424,23355.343999999997,0,0
OR||WA,OR,WA,18532.195,24025.977,0,0
PA||WV,PA,WV,9574.866,5629.143,0,0
TN||VA,TN,VA,2381.921,2273.6,0,0
UT||WY,UT,WY,906.0509999999999,932.4110000000001,0,0
VA||WV,VA,WV,12406.425,13359.165,0,0
