Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,19171,Tama County,Iowa,722.08,Crop,70,0,dt,0,BTU,0,15722000,Corn Belt
near-term,agriculture land,Agricultural residues,Barley straw,POLYSYS,08083,Montezuma County,Colorado,2039.86,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
near-term,agriculture land,Agricultural residues,Barley straw,POLYSYS,38057,Mercer County,North Dakota,1112.6,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
near-term,agriculture land,Agricultural residues,Barley straw,POLYSYS,30007,Broadwater County,Montana,1238.11,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,13017,Ben Hill County,Georgia,253.91,Crop,70,4719,dt,74192118000,BTU,18.59,15722000,Southeast
near-term,agriculture land,Agricultural residues,Barley straw,POLYSYS,51085,Hanover County,Virginia,472.53,Crop,70,0,dt,0,BTU,0,14892000,Appalachia
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,18019,Clark County,Indiana,376.59,Crop,70,4284,dt,67353048000,BTU,11.38,15722000,Corn Belt
near-term,agriculture land,Agricultural residues,Barley straw,POLYSYS,16031,Cassia County,Idaho,2580.73,Crop,70,0,dt,0,BTU,0,14892000,Mountain States
near-term,agriculture land,Agricultural residues,Barley straw,POLYSYS,42067,Juniata County,Pennsylvania,393.52,Crop,70,80,dt,1191360000,BTU,0.2,14892000,Northeast
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,16011,Bingham County,Idaho,2120.23,Crop,70,0,dt,0,BTU,0,15722000,Mountain States
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,17137,Morgan County,Illinois,572.45,Crop,70,235637,dt,3.70468E+12,BTU,411.63,15722000,Corn Belt
