Scenario Name,Material Class,SubClass,Resource Name,Diameter Class,Owner,Fips Code,County,State,Sqmi,Scenario Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,Harvest Costs,Harvest Area,Harvest Area Unit,Lipid Based,Ash Percentage
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,38039,Griggs County,North Dakota,716.58,40,119.4,dt,2073739200,BTU,0.17,16.77,25.5,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,42131,Wyoming County,Pennsylvania,405.11,40,7951.2,dt,1.38096E+11,BTU,19.63,16.77,871.2,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,19039,Clarke County,Iowa,431.7,40,597.3,dt,10373906400,BTU,1.38,16.77,92.2,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,21059,Daviess County,Kentucky,476.47,40,2999.8,dt,52100526400,BTU,6.3,16.77,337.7,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,50011,Franklin County,Vermont,688.65,40,851.3,dt,14785378400,BTU,1.24,16.77,91.9,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,06029,Kern County,California,8164.92,40,958.2,dt,16642017600,BTU,0.12,16.77,80.9,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,47075,Haywood County,Tennessee,534.06,40,721,dt,12522328000,BTU,1.35,16.77,73.7,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,27007,Beltrami County,Minnesota,3055.4,40,4066.9,dt,70633919200,BTU,1.33,16.77,577.5,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,37017,Bladen County,North Carolina,887.78,40,1792.5,dt,31132140000,BTU,2.02,16.77,198,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,53073,Whatcom County,Washington,2164.09,40,13452.4,dt,2.33641E+11,BTU,6.22,16.77,1305.8,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,54045,Logan County,West Virginia,455.55,40,1497.6,dt,26010316800,BTU,3.29,16.77,177.5,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,27021,Cass County,Minnesota,2413.98,40,7473.6,dt,1.29801E+11,BTU,3.1,16.77,1061.3,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,20001,Allen County,Kansas,505.33,40,210,dt,3647280000,BTU,0.42,16.77,26.6,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,21239,Woodford County,Kentucky,192.02,40,969.5,dt,16838276000,BTU,5.05,16.77,122.6,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,53077,Yakima County,Washington,4310.42,40,359.3,dt,6240322400,BTU,0.08,16.77,27.3,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,18091,LaPorte County,Indiana,603.82,40,2020.5,dt,35092044000,BTU,3.35,16.77,294.3,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,01013,Butler County,Alabama,777.88,40,23495.8,dt,4.08075E+11,BTU,30.2,16.77,2746.9,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Private,29065,Dent County,Missouri,754.51,40,1102.1,dt,19141272800,BTU,1.46,16.77,170.8,ac,No,0.95
near-term,wood,Logging residues,Hardwood lowland logging residues,Class 1,Public,20017,Chase County,Kansas,777.72,40,45.4,dt,788507200,BTU,0.06,16.77,6,ac,No,0.95
