pypsa-name,parameter,value,unit,source,further description
electrolysis,FOM,1.5,%/year,https://www.iea.org/data-and-statistics/charts/global-average-levelised-cost-of-hydrogen-production-by-energy-source-and-technology-2019-and-2050,""
electrolysis,elec-input,1.351,"",https://www.iea.org/data-and-statistics/charts/global-average-levelised-cost-of-hydrogen-production-by-energy-source-and-technology-2019-and-2050,""
electrolysis,investment,369,USD/kW_e,https://www.nature.com/articles/s41597-025-05951-4,0.331 - 1 - 1.846
electrolysis,lifetime,20,years,https://www.iea.org/data-and-statistics/charts/global-average-levelised-cost-of-hydrogen-production-by-energy-source-and-technology-2019-and-2050,""
electrolysis,currency_year,2024,,https://www.nature.com/articles/s41597-025-05951-4,""
CH4 (g) pipeline,FOM,1.5,%/year,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,""
CH4 (g) pipeline,electricity-input,0.01,MW_e/1000km/MW_CH4,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: 112 6 gas Main distri line.",""
CH4 (g) pipeline,investment,87.22,EUR/MW/km,Guesstimate.,""
CH4 (g) pipeline,lifetime,40,years,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,""
CH4 (g) pipeline,currency_year,2020,,,
H2 (g) pipeline,FOM,1.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",""
H2 (g) pipeline,electricity-input,0.017,MW_e/1000km/MW_H2,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",""
H2 (g) pipeline,investment,303.6845,EUR/MW/km,European Hydrogen Backbone Report (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf Table 35. Implementation roadmap - Cross border projects and costs updates: https://ehb.eu/files/downloads/EHB-2023-20-Nov-FINAL-design.pdf Table 1,""
H2 (g) pipeline,lifetime,40,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",""
H2 (g) pipeline,currency_year,2023,,,
H2 (g) pipeline repurposed,FOM,1.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",""
H2 (g) pipeline repurposed,electricity-input,0.017,MW_e/1000km/MW_H2,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",""
