county,population
p01001,60342
p01003,253507
p01005,24585
p01007,21868
p01009,59816
p01011,9897
p01013,18382
p01015,116429
p01017,34079
p01019,25666
p01021,46431
p01023,12252
p01025,22337
p01027,14111
p01029,15639
p01031,55643
p01033,58361
p01035,11174
p01037,10268
p01039,37952
p01041,13101
p01043,92016
p01045,49871
p01047,36165
p01049,72569
p01051,90441
p01053,36558
p01055,103241
p01057,15967
p01059,31802
p01061,26988
p01063,7341
p01065,14888
p01067,17899
p01069,108462
p01071,53467
p01073,662895
p01075,13661
p01077,96814
p01079,33502
p01081,183215
p01083,114654
p01085,9717
p01087,18370
p01089,412600
p01091,18684
p01093,29244
p01095,100756
p01097,411640
p01099,19229
p01101,224980
p01103,125133
p01105,7738
p01107,18688
p01109,33137
p01111,22786
p01113,58744
p01115,95552
p01117,233000
p01119,11727
p01121,81132
p01123,40677
p01125,237373
p01127,64728
p01129,15022
p01131,9944
p01133,23611
p02013,3461
p02016,5160
p02020,286075
p02050,18224
p02060,844
p02063,6769
p02066,2674
p02068,1584
p02070,4607
p02090,94840
p02100,2070
p02105,2262
p02110,31555
p02122,61223
p02130,13738
p02150,12565
p02158,8001
p02164,1331
p02170,115239
p02180,9763
p02185,10603
p02188,7361
p02195,3427
p02198,5696
p02220,8282
p02230,1095
p02240,7077
p02275,2064
p02282,687
p02290,5129
p04001,65036
p04003,124640
p04005,144472
p04007,54003
p04009,39525
p04011,9369
p04012,16710
p04013,4585871
p04015,223682
p04017,109175
p04019,1063162
p04021,484239
p04023,49158
p04025,249081
p04027,213221
p05001,16307
p05003,18262
p05005,42875
p05007,311013
p05009,38530
p05011,10104
p05013,4641
p05015,28814
p05017,9538
p05019,21274
p05021,14201
p05023,25445
p05025,7378
p05027,22150
p05029,21077
p05031,113993
p05033,61891
p05035,47139
p05037,16420
p05039,6185
p05041,10479
p05043,16945
p05045,129951
p05047,17468
p05049,12421
p05051,99784
p05053,18383
p05055,46743
p05057,19343
p05059,33258
p05061,12533
p05063,38320
p05065,14169
p05067,16784
p05069,63661
p05071,26129
p05073,6095
p05075,16318
p05077,8201
p05079,12898
p05081,11805
p05083,21400
p05085,75944
p05087,17775
p05089,17514
p05091,42415
p05093,38663
p05095,6512
p05097,8620
p05099,8120
p05101,7071
p05103,21793
p05105,10184
p05107,14961
p05109,10208
p05111,22397
p05113,19436
p05115,64593
p05117,8036
p05119,400009
p05121,18907
p05123,22101
p05125,129574
p05127,9851
p05129,7806
p05131,129098
p05133,15632
p05135,17968
p05137,12671
p05139,37397
p05141,16142
p05143,261549
p05145,78452
p05147,5964
p05149,20044
p06001,1622188
p06003,1141
p06005,41811
p06007,207172
p06009,46565
p06011,22037
p06013,1155025
p06015,26589
p06017,192215
p06019,1017162
p06021,28129
p06023,133985
p06025,179057
p06027,18527
p06029,913820
p06031,152682
p06033,67878
p06035,28861
p06037,9663345
p06039,162858
p06041,254407
p06043,16919
p06045,89108
p06047,291920
p06049,8500
p06051,13066
p06053,430723
p06055,133216
p06057,102037
p06059,3135755
p06061,423561
p06063,19131
p06065,2492442
p06067,1584288
p06069,68175
p06071,2195611
p06073,3269973
p06075,808988
p06077,800965
p06079,281639
p06081,726353
p06083,441257
p06085,1877592
p06087,261547
p06089,180366
p06091,3200
p06093,42905
p06095,449218
p06097,481812
p06099,551430
p06101,97948
p06103,64896
p06105,15670
p06107,479468
p06109,54204
p06111,829590
p06113,220544
p06115,85722
p08001,533365
p08003,16655
p08005,656061
p08007,14189
p08009,3344
p08011,5681
p08013,326831
p08014,76860
p08015,20617
p08017,1727
p08019,9147
p08021,7521
p08023,3628
p08025,5636
p08027,5534
p08029,31746
p08031,716577
p08033,2513
p08035,383906
p08037,54381
p08039,28806
p08041,744215
p08043,50318
p08045,62707
p08047,5926
p08049,15935
p08051,17321
p08053,765
p08055,7055
p08057,1309
p08059,576366
p08061,1384
p08063,6994
p08065,7365
p08067,56407
p08069,370771
p08071,14348
p08073,5480
p08075,20619
p08077,159681
p08079,944
p08081,13327
p08083,26531
p08085,44156
p08087,29524
p08089,18136
p08091,5176
p08093,18117
p08095,4476
p08097,16640
p08099,11751
p08101,169422
p08103,6569
p08105,11188
p08107,25064
p08109,6688
p08111,802
p08113,7868
p08115,2299
p08117,30465
p08119,24617
p08121,4855
p08123,359442
p08125,9862
p09110,975328
p09120,327651
p09130,176215
p09140,456128
p09150,96692
p09160,113463
p09170,568158
p09180,279634
p09190,623907
p10001,189789
p10003,578592
p10005,263509
p11001,678972
p12001,285994
p12003,28368
p12005,190769
p12007,27858
p12009,643979
p12011,1962531
p12013,13470
p12015,206134
p12017,166696
p12019,232439
p12021,404310
p12023,73063
p12027,35979
p12029,17465
p12031,1030822
p12033,326928
p12035,131439
p12037,12594
p12039,43833
p12041,19587
p12043,12786
p12045,15693
p12047,13471
p12049,25760
p12051,43333
p12053,212807
p12055,107614
p12057,1535564
p12059,19944
p12061,169795
p12063,48622
p12065,15450
p12067,8078
p12069,424462
p12071,834573
p12073,296913
p12075,46545
p12077,7706
p12079,18519
p12081,441095
p12083,409959
p12085,163315
p12086,2686867
p12087,80614
p12089,101501
p12091,218464
p12093,41427
p12095,1471416
p12097,437784
p12099,1533801
p12101,632996
p12103,961596
p12105,818330
p12107,75955
p12109,320110
p12111,373586
p12113,203162
p12115,469013
p12117,484271
p12119,151565
p12121,46130
p12123,21582
p12125,15532
p12127,590357
p12129,36449
p12131,86354
p12133,25602
p13001,18457
p13003,8293
p13005,11124
p13007,2743
p13009,43396
p13011,19789
p13013,92792
p13015,115041
p13017,17128
p13019,18570
p13021,156512
p13023,12465
p13025,18401
p13027,16245
